state,date,unemployment_rate
Alabama,January,4.3
Alabama,February,4.0
Alabama,March,3.8
Alabama,April,3.6
Alabama,May,3.4
Alabama,June,
Alabama,July,
Alabama,August,
Alabama,September,
Alabama,October,
Alabama,November,
Alabama,December,
Alaska,January,6.6
Alaska,February,6.6
Alaska,March,6.6
Alaska,April,
Alaska,May,
Alaska,June,
Alaska,July,
Alaska,August,
Alaska,September,
Alaska,October,
Alaska,November,
Alaska,December,
Arizona,January,6.7
Arizona,February,6.9
Arizona,March,6.7
Arizona,April,
Arizona,May,6.7
Arizona,June,
Arizona,July,
Arizona,August,
Arizona,September,
Arizona,October,
Arizona,November,
Arizona,December,
Arkansas,January,4.6
Arkansas,February,4.5
Arkansas,March,4.4
Arkansas,April,4.4
Arkansas,May,4.4
Arkansas,June,
Arkansas,July,
Arkansas,August,
Arkansas,September,
Arkansas,October,
Arkansas,November,
Arkansas,December,
California,January,9.0
California,February,8.5
California,March,8.3
California,April,8.3
California,May,7.9
California,June,
California,July,
California,August,
California,September,
California,October,
California,November,
California,December,
Colorado,January,6.6
Colorado,February,6.6
Colorado,March,6.4
Colorado,April,
Colorado,May,
Colorado,June,
Colorado,July,
Colorado,August,
Colorado,September,
Colorado,October,
Colorado,November,
Colorado,December,
Connecticut,January,8.1
Connecticut,February,8.5
Connecticut,March,8.3
Connecticut,April,8.1
Connecticut,May,7.7
Connecticut,June,
Connecticut,July,
Connecticut,August,
Connecticut,September,
Connecticut,October,
Connecticut,November,
Connecticut,December,
Delaware,January,6.1
Delaware,February,6.3
Delaware,March,6.5
Delaware,April,
Delaware,May,
Delaware,June,
Delaware,July,
Delaware,August,
Delaware,September,
Delaware,October,
Delaware,November,
Delaware,December,
D.C.,January,8.4
D.C.,February,8.1
D.C.,March,7.8
D.C.,April,7.5
D.C.,May,7.2
D.C.,June,
D.C.,July,
D.C.,August,
D.C.,September,
D.C.,October,
D.C.,November,
D.C.,December,
Florida,January,4.8
Florida,February,4.7
Florida,March,4.7
Florida,April,4.8
Florida,May,4.9
Florida,June,
Florida,July,
Florida,August,
Florida,September,
Florida,October,
Florida,November,
Florida,December,
Georgia,January,5.1
Georgia,February,4.8
Georgia,March,4.5
Georgia,April,4.3
Georgia,May,4.1
Georgia,June,
Georgia,July,
Georgia,August,
Georgia,September,
Georgia,October,
Georgia,November,
Georgia,December,
Hawaii,January,10.2
Hawaii,February,9.2
Hawaii,March,9.0
Hawaii,April,8.5
Hawaii,May,8.1
Hawaii,June,
Hawaii,July,
Hawaii,August,
Hawaii,September,
Hawaii,October,
Hawaii,November,
Hawaii,December,
Idaho,January,3.4
Idaho,February,3.3
Idaho,March,3.2
Idaho,April,3.1
Idaho,May,3.0
Idaho,June,
Idaho,July,
Idaho,August,
Idaho,September,
Idaho,October,
Idaho,November,
Idaho,December,
Illinois,January,7.7
Illinois,February,7.4
Illinois,March,7.1
Illinois,April,7.1
Illinois,May,7.1
Illinois,June,
Illinois,July,
Illinois,August,
Illinois,September,
Illinois,October,
Illinois,November,
Illinois,December,
Indiana,January,4.2
Indiana,February,4.0
Indiana,March,3.9
Indiana,April,3.9
Indiana,May,4.0
Indiana,June,
Indiana,July,
Indiana,August,
Indiana,September,
Indiana,October,
Indiana,November,
Indiana,December,
Iowa,January,3.5
Iowa,February,3.6
Iowa,March,3.7
Iowa,April,3.8
Iowa,May,3.9
Iowa,June,
Iowa,July,
Iowa,August,
Iowa,September,
Iowa,October,
Iowa,November,
Iowa,December,
Kansas,January,3.5
Kansas,February,3.2
Kansas,March,3.7
Kansas,April,3.5
Kansas,May,3.5
Kansas,June,
Kansas,July,
Kansas,August,
Kansas,September,
Kansas,October,
Kansas,November,
Kansas,December,
Kentucky,January,5.3
Kentucky,February,5.2
Kentucky,March,5.0
Kentucky,April,4.7
Kentucky,May,4.5
Kentucky,June,
Kentucky,July,
Kentucky,August,
Kentucky,September,
Kentucky,October,
Kentucky,November,
Kentucky,December,
Louisiana,January,7.6
Louisiana,February,7.6
Louisiana,March,7.3
Louisiana,April,7.3
Louisiana,May,7.1
Louisiana,June,
Louisiana,July,
Louisiana,August,
Louisiana,September,
Louisiana,October,
Louisiana,November,
Louisiana,December,
Maine,January,5.2
Maine,February,4.8
Maine,March,4.8
Maine,April,4.8
Maine,May,4.7
Maine,June,
Maine,July,
Maine,August,
Maine,September,
Maine,October,
Maine,November,
Maine,December,
Maryland,January,6.4
Maryland,February,6.2
Maryland,March,6.2
Maryland,April,4.9
Maryland,May,
Maryland,June,
Maryland,July,
Maryland,August,
Maryland,September,
Maryland,October,
Maryland,November,
Maryland,December,
Massachusetts,January,7.8
Massachusetts,February,7.1
Massachusetts,March,6.8
Massachusetts,April,
Massachusetts,May,
Massachusetts,June,
Massachusetts,July,
Massachusetts,August,
Massachusetts,September,
Massachusetts,October,
Massachusetts,November,
Massachusetts,December,
Michigan,January,5.7
Michigan,February,5.2
Michigan,March,5.1
Michigan,April,4.9
Michigan,May,5.0
Michigan,June,
Michigan,July,
Michigan,August,
Michigan,September,
Michigan,October,
Michigan,November,
Michigan,December,
Minnesota,January,4.5
Minnesota,February,4.3
Minnesota,March,4.2
Minnesota,April,4.1
Minnesota,May,4.0
Minnesota,June,
Minnesota,July,
Minnesota,August,
Minnesota,September,
Minnesota,October,
Minnesota,November,
Minnesota,December,
Mississippi,January,6.4
Mississippi,February,6.3
Mississippi,March,6.3
Mississippi,April,
Mississippi,May,
Mississippi,June,
Mississippi,July,
Mississippi,August,
Mississippi,September,
Mississippi,October,
Mississippi,November,
Mississippi,December,
Missouri,January,4.3
Missouri,February,4.2
Missouri,March,4.2
Missouri,April,4.1
Missouri,May,4.2
Missouri,June,
Missouri,July,
Missouri,August,
Missouri,September,
Missouri,October,
Missouri,November,
Missouri,December,
Montana,January,4.0
Montana,February,3.9
Montana,March,3.8
Montana,April,3.7
Montana,May,3.6
Montana,June,
Montana,July,
Montana,August,
Montana,September,
Montana,October,
Montana,November,
Montana,December,
Nebraska,January,3.2
Nebraska,February,3.1
Nebraska,March,2.9
Nebraska,April,2.8
Nebraska,May,2.6
Nebraska,June,
Nebraska,July,
Nebraska,August,
Nebraska,September,
Nebraska,October,
Nebraska,November,
Nebraska,December,
Nevada,January,8.1
Nevada,February,8.3
Nevada,March,8.1
Nevada,April,8.0
Nevada,May,7.8
Nevada,June,
Nevada,July,
Nevada,August,
Nevada,September,
Nevada,October,
Nevada,November,
Nevada,December,
New Hampshire,January,3.6
New Hampshire,February,3.3
New Hampshire,March,3.0
New Hampshire,April,2.8
New Hampshire,May,2.5
New Hampshire,June,
New Hampshire,July,
New Hampshire,August,
New Hampshire,September,
New Hampshire,October,
New Hampshire,November,
New Hampshire,December,
New Jersey,January,7.9
New Jersey,February,7.8
New Jersey,March,7.7
New Jersey,April,7.5
New Jersey,May,7.2
New Jersey,June,
New Jersey,July,
New Jersey,August,
New Jersey,September,
New Jersey,October,
New Jersey,November,
New Jersey,December,
New Mexico,January,8.7
New Mexico,February,8.3
New Mexico,March,8.3
New Mexico,April,8.2
New Mexico,May,8.0
New Mexico,June,
New Mexico,July,
New Mexico,August,
New Mexico,September,
New Mexico,October,
New Mexico,November,
New Mexico,December,
New York,January,8.8
New York,February,8.9
New York,March,8.5
New York,April,8.2
New York,May,7.8
New York,June,
New York,July,
New York,August,
New York,September,
New York,October,
New York,November,
New York,December,
North Carolina,January,5.9
North Carolina,February,5.7
North Carolina,March,5.2
North Carolina,April,5.0
North Carolina,May,4.8
North Carolina,June,
North Carolina,July,
North Carolina,August,
North Carolina,September,
North Carolina,October,
North Carolina,November,
North Carolina,December,
North Dakota,January,4.5
North Dakota,February,4.7
North Dakota,March,4.4
North Dakota,April,4.2
North Dakota,May,4.0
North Dakota,June,
North Dakota,July,
North Dakota,August,
North Dakota,September,
North Dakota,October,
North Dakota,November,
North Dakota,December,
Ohio,January,5.3
Ohio,February,5.0
Ohio,March,4.7
Ohio,April,4.7
Ohio,May,5.0
Ohio,June,
Ohio,July,
Ohio,August,
Ohio,September,
Ohio,October,
Ohio,November,
Ohio,December,
Oklahoma,January,4.3
Oklahoma,February,4.4
Oklahoma,March,4.2
Oklahoma,April,4.3
Oklahoma,May,4.0
Oklahoma,June,
Oklahoma,July,
Oklahoma,August,
Oklahoma,September,
Oklahoma,October,
Oklahoma,November,
Oklahoma,December,
Oregon,January,6.2
Oregon,February,6.1
Oregon,March,6.0
Oregon,April,
Oregon,May,
Oregon,June,
Oregon,July,
Oregon,August,
Oregon,September,
Oregon,October,
Oregon,November,
Oregon,December,
Pennsylvania,January,7.3
Pennsylvania,February,7.3
Pennsylvania,March,7.3
Pennsylvania,April,7.4
Pennsylvania,May,6.9
Pennsylvania,June,
Pennsylvania,July,
Pennsylvania,August,
Pennsylvania,September,
Pennsylvania,October,
Pennsylvania,November,
Pennsylvania,December,
Rhode Island,January,7.2
Rhode Island,February,7.3
Rhode Island,March,7.1
Rhode Island,April,
Rhode Island,May,
Rhode Island,June,
Rhode Island,July,
Rhode Island,August,
Rhode Island,September,
Rhode Island,October,
Rhode Island,November,
Rhode Island,December,
South Carolina,January,5.3
South Carolina,February,5.2
South Carolina,March,5.1
South Carolina,April,5.0
South Carolina,May,4.6
South Carolina,June,
South Carolina,July,
South Carolina,August,
South Carolina,September,
South Carolina,October,
South Carolina,November,
South Carolina,December,
South Dakota,January,3.1
South Dakota,February,2.9
South Dakota,March,2.9
South Dakota,April,2.8
South Dakota,May,2.8
South Dakota,June,
South Dakota,July,
South Dakota,August,
South Dakota,September,
South Dakota,October,
South Dakota,November,
South Dakota,December,
Tennessee,January,5.1
Tennessee,February,4.9
Tennessee,March,5.0
Tennessee,April,5.0
Tennessee,May,5.0
Tennessee,June,
Tennessee,July,
Tennessee,August,
Tennessee,September,
Tennessee,October,
Tennessee,November,
Tennessee,December,
Texas,January,6.8
Texas,February,6.9
Texas,March,6.9
Texas,April,6.7
Texas,May,6.5
Texas,June,
Texas,July,
Texas,August,
Texas,September,
Texas,October,
Texas,November,
Texas,December,
Utah,January,3.1
Utah,February,3.0
Utah,March,2.9
Utah,April,2.8
Utah,May,2.7
Utah,June,
Utah,July,
Utah,August,
Utah,September,
Utah,October,
Utah,November,
Utah,December,
Vermont,January,3.2
Vermont,February,3.1
Vermont,March,2.9
Vermont,April,2.9
Vermont,May,2.6
Vermont,June,
Vermont,July,
Vermont,August,
Vermont,September,
Vermont,October,
Vermont,November,
Vermont,December,
Virginia,January,5.3
Virginia,February,5.2
Virginia,March,5.1
Virginia,April,4.7
Virginia,May,4.5
Virginia,June,
Virginia,July,
Virginia,August,
Virginia,September,
Virginia,October,
Virginia,November,
Virginia,December,
Washington,January,6.0
Washington,February,5.6
Washington,March,5.4
Washington,April,
Washington,May,
Washington,June,
Washington,July,
Washington,August,
Washington,September,
Washington,October,
Washington,November,
Washington,December,
West Virginia,January,6.5
West Virginia,February,6.2
West Virginia,March,5.9
West Virginia,April,
West Virginia,May,
West Virginia,June,
West Virginia,July,
West Virginia,August,
West Virginia,September,
West Virginia,October,
West Virginia,November,
West Virginia,December,
Wisconsin,January,3.8
Wisconsin,February,3.8
Wisconsin,March,3.8
Wisconsin,April,3.9
Wisconsin,May,3.9
Wisconsin,June,
Wisconsin,July,
Wisconsin,August,
Wisconsin,September,
Wisconsin,October,
Wisconsin,November,
Wisconsin,December,
Wyoming,January,5.1
Wyoming,February,5.3
Wyoming,March,5.3
Wyoming,April,
Wyoming,May,
Wyoming,June,
Wyoming,July,
Wyoming,August,
Wyoming,September,
Wyoming,October,
Wyoming,November,
Wyoming,December,
